experiment,policy,condition,skill,contribution,share_pct,time_s,occurrences_per_run
act_standard,act,standard,Move,2.490569483996033e-07,37.36383586112337,11.62371604179798,1.9595959595959596
act_standard,act,standard,Pick,2.0557192152648557e-07,30.84015757411238,9.55782856309091,1.9494949494949494
act_standard,act,standard,Carry,9.266492440230922e-08,13.901708214524975,4.332552633696969,1.0101010101010102
act_standard,act,standard,Place,1.192784209155515e-07,17.894298350239286,5.611863443313132,1.0101010101010102
pi05_standard,pi05,standard,Move,1.8911567285121055e-07,34.194146651226426,8.891195897966304,1.8695652173913044
pi05_standard,pi05,standard,Pick,1.8168619157762878e-07,32.850816569793835,8.638141388445652,1.8695652173913044
pi05_standard,pi05,standard,Carry,7.38360252175134e-08,13.3503470990355,3.467476052696739,1.0
pi05_standard,pi05,standard,Place,1.0842657129824474e-07,19.60468967994424,5.087785004390217,0.9891304347826086
smolvla_standard,smolvla,standard,Move,2.1621685922236418e-07,35.94811977429553,10.179509645834374,1.9791666666666667
smolvla_standard,smolvla,standard,Pick,1.8631678151682272e-07,30.976946025470806,8.931010275332293,1.9791666666666667
smolvla_standard,smolvla,standard,Carry,7.748465264853812e-08,12.882564218614945,3.6568215992499997,1.0
smolvla_standard,smolvla,standard,Place,1.214508810222497e-07,20.19236998161872,5.700951937802084,1.0
act_new_colors,act,new_colors,Move,2.2691484027850366e-07,34.95702027715486,10.637009774882353,1.9411764705882353
act_new_colors,act,new_colors,Pick,2.0353896583594294e-07,31.35588552597732,9.491752609588234,1.9411764705882353
act_new_colors,act,new_colors,Carry,1.0534006051967254e-07,16.22800265977913,4.932404440294118,1.1176470588235294
act_new_colors,act,new_colors,Place,1.1333136909656242e-07,17.459091537088685,5.30041929917647,1.1176470588235294
pi05_new_colors,pi05,new_colors,Move,1.7551134543646295e-07,31.25226854669491,8.219101986850012,2.0
pi05_new_colors,pi05,new_colors,Pick,1.9104504403087925e-07,34.0182624987603,9.135533533399997,2.0
pi05_new_colors,pi05,new_colors,Carry,5.12558281658249e-08,9.126822556331552,2.4575369592000014,1.0
pi05_new_colors,pi05,new_colors,Place,1.4378331958111993e-07,25.60264639821324,6.786087699649983,1.0
smolvla_new_colors,smolvla,new_colors,Move,2.1313586757406012e-07,35.34490584924369,10.064175087249907,2.0
smolvla_new_colors,smolvla,new_colors,Pick,1.9967234911320607e-07,33.11221363364048,9.515587288062633,2.0
smolvla_new_colors,smolvla,new_colors,Carry,5.617185701641335e-08,9.315133206908161,2.6707450465624163,1.0
smolvla_new_colors,smolvla,new_colors,Place,1.3403714321336827e-07,22.227747310207675,6.337947825437553,1.0
pi05_switched_boxes,pi05,switched_boxes,Move,1.779096382184689e-07,32.80858230419214,8.39394617384182,2.0
pi05_switched_boxes,pi05,switched_boxes,Pick,1.6669606782611754e-07,30.74067102729136,8.000068595158154,2.0
pi05_switched_boxes,pi05,switched_boxes,Carry,8.910487080960502e-08,16.431962410442665,4.258552199947428,1.0
pi05_switched_boxes,pi05,switched_boxes,Place,1.0855496991323573e-07,20.01878425807384,5.060404238210762,1.0
smolvla_switched_boxes,smolvla,switched_boxes,Move,1.9537728934385594e-07,33.38701186667102,9.203107881054974,2.0
smolvla_switched_boxes,smolvla,switched_boxes,Pick,1.8333186695031057e-07,31.328632094165425,8.771955785555898,2.0
smolvla_switched_boxes,smolvla,switched_boxes,Carry,8.569834343500903e-08,14.644545529460594,4.066018864889581,1.0
smolvla_switched_boxes,smolvla,switched_boxes,Place,1.2078200487244377e-07,20.639810509702972,5.684103355277734,1.0
