experiment,episode_key,time_s,failure_probability,mttf_h,joint_travel_rad,move_time_s
act_standard,demo_000000,29.444142343000003,6.314637741280571e-07,12952.327800060812,4.407038571,10.229460705
act_standard,demo_000001,31.160498219999997,6.719224278709937e-07,12881.978942115884,4.406902442,10.987801171
act_standard,demo_000002,29.578659201,6.374484470391864e-07,12889.342829099884,5.2889789584,9.601573344
act_standard,demo_000003,28.214408505999998,6.15671887408408e-07,12729.724027343906,5.1539298232999995,9.603672064000001
act_standard,demo_000004,29.193905920000002,6.170630699247732e-07,13141.956083996241,5.1322396799000005,9.608430614
act_standard,demo_000005,30.232559527,6.616130637161816e-07,12693.114517633134,4.6570718265,9.380062037
act_standard,demo_000006,26.027104639999997,5.406375226759587e-07,13372.63670128573,5.420411583600001,9.0625851
act_standard,demo_000007,27.013159135000002,5.944024604558697e-07,12623.859357700361,4.6974905051,8.208043721
act_standard,demo_000008,28.059200333999996,6.152341452095387e-07,12668.706067372896,4.645546782299999,8.613984917
act_standard,demo_000009,31.669463687,6.64573366549907e-07,13237.16935229,4.925902516800001,11.177844261999999
act_standard,demo_000010,32.827122199,7.128590743280687e-07,12791.647126097123,4.6528445115,11.047494765
act_standard,demo_000011,28.285605691000004,6.16070231441585e-07,12753.5948961954,4.6828128646,11.238735145000001
act_standard,demo_000012,34.857238912,7.403537047733576e-07,13078.293021926735,4.5213326062000005,11.88986566
act_standard,demo_000013,30.551553134000002,6.597773475735926e-07,12862.73260202386,5.4105780566,10.570633615
act_standard,demo_000014,34.942419879,7.326886395170115e-07,13247.40627430757,5.1028133717,12.74927499
act_standard,demo_000015,27.550902307999998,5.764746187249292e-07,13275.564416005933,5.1760507851,11.073694271
act_standard,demo_000016,33.26613733,7.259534098677819e-07,12728.90394018104,4.772201321899999,10.274713763
act_standard,demo_000017,31.207945011,6.775933821218303e-07,12793.617558859489,5.0917576954,11.757951653000001
act_standard,demo_000018,33.430098084,7.094303213390839e-07,13089.565993186874,4.6314860078999995,10.939864662
act_standard,demo_000019,30.897699586000005,6.638243964839853e-07,12929.15929899326,5.4275465479000005,10.769653037000001
act_standard,demo_000020,34.84445091,7.306670696622141e-07,13246.81358541272,5.2110326322,12.310002028
act_standard,demo_000021,29.884301254,6.296250174809161e-07,13184.342735719547,5.538118706100001,12.267382328
act_standard,demo_000022,32.675759517,7.123773176297734e-07,12741.276756944211,4.4994163911000005,10.957160755
act_standard,demo_000023,28.213792935,6.130668375238916e-07,12783.536343571921,4.7440539053999995,10.583088297
act_standard,demo_000024,33.015166117,7.03029956086776e-07,13044.787236562564,4.6240326203999995,10.88242093
act_standard,demo_000025,30.136539437,6.465151485350275e-07,12948.278357934872,5.4250061267000005,10.662932144000001
act_standard,demo_000026,34.401335317,7.27088445109718e-07,13142.724108025308,5.408052219299999,12.326380902
act_standard,demo_000028,32.949051764000004,7.178339550877519e-07,12750.179743358081,4.7293148778,10.473649815
act_standard,demo_000029,30.376666587000003,6.640390298826956e-07,12707.024163658401,5.265964375499999,11.26325185
act_standard,demo_000030,33.062523428,7.053077029891809e-07,13021.31093475029,4.5404645156,12.428470953
act_standard,demo_000031,29.840932634999998,6.376413159383338e-07,12999.698984841125,5.495808426,10.415678563
act_standard,demo_000032,33.69672833,7.141385584075238e-07,13106.977949708931,5.204361477600001,12.203984066
act_standard,demo_000033,28.90591797,5.963429146145799e-07,13464.432718972635,5.426177815700001,11.483321826000001
act_standard,demo_000034,30.959054608,6.775150904707625e-07,12693.053437907278,4.5352420656,9.617539916
act_standard,demo_000035,28.207980444,6.151392733903889e-07,12737.843172372255,4.860919588100001,10.356382991
act_standard,demo_000036,26.794634470000002,5.784996978149084e-07,12865.955977111284,4.1992699665,12.019490637
act_standard,demo_000037,29.902302827999996,6.446083608400622e-07,12885.641783782065,5.0533592271,11.986767880999999
act_standard,demo_000038,33.157816487,6.956357743554485e-07,13240.405617031196,5.424833781399999,11.434066354
act_standard,demo_000039,27.859287572,5.717200111889397e-07,13535.801400900233,5.3215100782,11.338367366
act_standard,demo_000040,32.752157542999996,7.120472457940934e-07,12776.988042555146,4.546911515500001,9.750842134
act_standard,demo_000041,23.763675807,5.178761268651805e-07,12746.328743269523,4.668516435099999,6.344779753
act_standard,demo_000042,32.604690072,6.924895249360474e-07,13078.688964347793,4.475248281199999,11.603643251
act_standard,demo_000043,30.799066375000002,6.610527848450921e-07,12941.921481120413,5.311644902500001,11.702767751
act_standard,demo_000044,28.848972348,6.122360119529124e-07,13089.071509377265,5.015899161099999,9.363070533
act_standard,demo_000045,27.248205414999997,5.671613644924921e-07,13345.309094806113,5.605523102,10.903266315
act_standard,demo_000046,30.602831094,6.646909042764995e-07,12789.078765257125,4.7108286693000005,8.299964161
act_standard,demo_000047,27.989854549,6.095324622857239e-07,12755.608086413453,4.739135879099999,9.550770023
act_standard,demo_000048,30.452805013,6.469155394421953e-07,13076.065053558956,5.137642570400001,10.92538251
act_standard,demo_000049,25.946907253,5.347653280975305e-07,13477.82245680475,5.477284296600001,9.384597037999999
act_standard,demo_000050,29.180180098,6.37302770939824e-07,12718.605996684822,4.8600256905,12.332555568
act_standard,demo_000051,29.194451192,6.398031215225518e-07,12675.09764760979,4.7624682647,12.374279171
act_standard,demo_000052,28.473329748999998,6.225702909942747e-07,12704.197070853099,4.653284877,11.476895468999999
act_standard,demo_000053,28.397230494,6.264123025608024e-07,12592.532040874208,4.7917901267000005,11.957644456999999
act_standard,demo_000054,29.209092217000002,6.294908131609759e-07,12889.20171683693,4.7956317876000005,11.986510447
act_standard,demo_000055,27.475003687,5.98085487481402e-07,12760.623679692335,4.8540579706,10.388565941
act_standard,demo_000056,28.817098997,6.259228928540104e-07,12788.711211429953,4.820371632500001,11.296909378
act_standard,demo_000057,27.675332327999996,5.941480320678305e-07,12938.845975840604,4.7435675563999995,11.149887409
act_standard,demo_000058,28.725845994,6.301478132722458e-07,12662.74174619724,4.615190513799999,11.402160212
act_standard,demo_000059,31.149136129,6.791001089036835e-07,12741.176995377768,5.0054096899,12.539644517
act_standard,demo_000060,28.090858724999997,6.131255474918337e-07,12726.616656872697,4.830264372099999,10.88123929
act_standard,demo_000061,29.292108241999998,6.413325899062734e-07,12687.167543710912,4.6889565472,11.907722354999999
act_standard,demo_000062,34.967452093,7.5235512268408e-07,12910.36243608609,5.6555537627,13.07954584
act_standard,demo_000063,34.968921131,7.520572657834567e-07,12916.01829271606,5.695548306799999,12.934370113
act_standard,demo_000064,35.017436454,7.547978117531176e-07,12886.976702675314,5.6335117204000005,12.292898325000001
act_standard,demo_000065,32.300863897,6.99551676573859e-07,12826.012949565338,5.6063257886,11.706691771000001
act_standard,demo_000066,31.130191648,6.710083836007987e-07,12886.981081030355,5.2339553938,12.708275601999999
act_standard,demo_000067,31.078228975000002,6.671682395176388e-07,12939.522284939805,5.1697770479,12.659798278999999
act_standard,demo_000068,28.986048574,6.265510181355149e-07,12850.793088282344,5.4704931229,10.24608398
