experiment,policy,condition,component,effective_exposure_s,hazard,active_time_s,travel
act_standard,act,standard,controller,31.125949562121,1.1241655451404068e-10,0.0,0.0
act_standard,act,standard,front_camera,31.125949562121,5.338100352650204e-10,0.0,0.0
act_standard,act,standard,gripper,1.3015269585559435,1.593069055769971e-09,1.3015269585559435,1.2684728256684406
act_standard,act,standard,joint_1,28.89928263965226,5.733984652126321e-08,28.18269178873041,0.18770814893350107
act_standard,act,standard,joint_2,73.79576544697262,1.4642016957343634e-07,31.125949562121,1.1628284679047034
act_standard,act,standard,joint_3,32.151913352070444,6.379347888874988e-08,30.301958177734434,0.40416776334122567
act_standard,act,standard,joint_4,55.236279778131944,1.0959579323736981e-07,31.125949562121,1.02232279726649
act_standard,act,standard,joint_5,35.347870772970836,7.013466424922934e-08,30.94970180469985,0.0772182210500437
act_standard,act,standard,joint_6,55.10707515216731,1.093394348524567e-07,31.125949562121,1.509965689411438
act_standard,act,standard,joint_7,36.62353515299308,7.26657443689398e-08,31.03406499027258,0.6144084287067689
act_standard,act,standard,power_supply,31.125949562121,3.4622432384949835e-08,0.0,0.0
act_standard,act,standard,wrist_camera,31.125949562121,5.338100352650204e-10,0.0,0.0
pi05_standard,pi05,standard,controller,26.084590898525665,9.42088474720494e-11,0.0,0.0
pi05_standard,pi05,standard,front_camera,26.084590898525665,4.473507341398771e-10,0.0,0.0
pi05_standard,pi05,standard,gripper,1.2235143896843346,1.4975816679648252e-09,1.2235143896843346,1.2652412047029662
pi05_standard,pi05,standard,joint_1,23.79815072188712,4.721855303115982e-08,23.214772632863166,0.13746613955185363
pi05_standard,pi05,standard,joint_2,60.04685632182789,1.1914058796925848e-07,26.084590898525665,1.1292024788400181
pi05_standard,pi05,standard,joint_3,24.888559874752357,4.9382063255627657e-08,23.524046702550923,0.42234479409729925
pi05_standard,pi05,standard,joint_4,48.52256719705031,9.627493493831665e-08,26.084590898525665,1.0487971405464003
pi05_standard,pi05,standard,joint_5,30.44260292844342,6.040198995215294e-08,25.989047918283806,0.06754042861217742
pi05_standard,pi05,standard,joint_6,44.82539780494925,8.89392813807674e-08,26.084590898525665,1.5005385034118657
pi05_standard,pi05,standard,joint_7,30.39121684225187,6.030003343190668e-08,25.93294024009,0.535506634290345
pi05_standard,pi05,standard,power_supply,26.084590898525665,2.901476091101596e-08,0.0,0.0
