experiment,policy,condition,runs,time_s,failure_probability,mttf_h,top_components,missing_place,total_joint_travel_rad,time_s_change_pct,failure_probability_change_pct,mttf_h_change_pct,total_joint_travel_rad_change_pct
act_standard,act,standard,99,31.12596068189899,6.665722152439495e-07,12970.98334103808,joint_2 & joint_4 & joint_6,1,4.978621250819192,0.0,0.0,0.0,0.0
pi05_standard,pi05,standard,92,26.084598343499998,5.530644609445975e-07,13101.040129186478,joint_2 & joint_4 & joint_6,1,4.841397428444566,0.0,0.0,0.0,0.0
smolvla_standard,smolvla,standard,96,28.46829345821875,6.014691744099747e-07,13147.56784723268,joint_2 & joint_4 & joint_6,1,5.063040009877083,0.0,0.0,0.0,0.0
act_new_colors,act,new_colors,17,30.36158612394118,6.491252357306816e-07,12992.517354206386,joint_2 & joint_4 & joint_6,0,5.12943023345105,-2.4557460756619354,-2.6174177552364397,0.16601681308290317,3.0291314609851794
pi05_new_colors,pi05,new_colors,20,26.59826017909999,5.61595537214287e-07,13156.093626991093,joint_2 & joint_4 & joint_6,0,4.934449084318476,1.9692150472694347,1.5425102989114592,0.4202223431249985,1.9219999442145586
smolvla_new_colors,smolvla,new_colors,16,28.58845524731251,6.030172169170478e-07,13169.16798434391,joint_2 & joint_4 & joint_6,0,4.9347140571301225,0.42208989193579516,0.257376865338399,0.16428998398951844,-2.5345632761467396
pi05_switched_boxes,pi05,switched_boxes,19,25.712971207158166,5.422655467674271e-07,13171.572563264532,joint_2 & joint_4 & joint_6,0,5.0880870090308905,-1.4246994776303978,-1.9525597719163734,0.5383727809589844,5.0954209860350375
smolvla_switched_boxes,smolvla,switched_boxes,18,27.72518588677819,5.851895046016193e-07,13160.58836255272,joint_2 & joint_4 & joint_6,0,4.935629906645772,-2.6102989718409964,-2.7066507314070343,0.09903364235370749,-2.5164743510372567
