trial,x_plan,y_plan,z_plan,x_real,y_real,z_real
0,0.5058481384380102,-0.3973487178597018,0.015,0.5018347237376013,-0.3869178541564134,0.014474795575832538
1,0.3476211875045845,0.03670366795722735,0.015,0.35120876999666467,0.04063604447523926,0.014892294464012551
2,0.4436596277621022,-0.29671856907430416,0.015,0.43314340826911213,-0.3022595744731438,0.014892294457358542
3,0.4563549068989204,-0.25842536849157416,0.015,0.4607885538517345,-0.24823862514929382,0.014892294457640938
4,0.39861142072522765,-0.34236684160170705,0.015,0.39959618882901776,-0.3312674548116627,0.014892294463870154
5,0.38533315621043923,-0.3767088431538569,0.015,0.38669792674122316,-0.37322039488019226,0.014892294458433663
6,0.4639203869860154,0.3906905324814911,0.015,0.4592088130532601,0.39548831570807885,0.014701063971344422
7,0.4587736746144847,0.06317258630337497,0.015,0.45558120968831095,0.06595662808204611,0.014892294454562431
8,0.48543282907076846,0.10547849927316455,0.015,0.4820139688843021,0.11278457333410885,0.014892294462617587
9,0.42397776669675885,0.4961559971191912,0.015,0.4257795547300755,0.49704664121108505,0.014904857992678175
10,0.4246894878445535,-0.15777021814468462,0.015,0.42244160762158306,-0.14996286108936877,0.014892294459416141
11,0.30349036783191147,-0.16111505321413033,0.015,0.30912422095579606,-0.1537555224505864,0.014892256772985075
12,0.3706262355834334,0.05015797107875375,0.015,0.38919234204611064,0.04986396063646661,0.005904795693426685
13,0.41608791000042766,0.4305255342626051,0.015,0.41847403091377217,0.4300011230011174,0.014892291338332685
14,0.3313097655104655,-0.21101925332579452,0.015,0.3288218898078911,-0.20415987827282372,0.014892294457169818
15,0.4066042143540946,-0.28918034444513396,0.015,0.3934945488976914,-0.2479096084042194,0.0014901056692004629
16,0.5360343655986146,-0.09114711550748911,0.015,0.5616454390560592,-0.08239080692250447,0.01489229446223264
17,0.4633431787088532,0.18159328894153393,0.015,0.4635700963510075,0.18358123139187807,0.01489224859580144
18,0.37550729685831624,0.050514867657562856,0.015,0.46010638617032257,-0.450675475525,0.014892294463871431
19,0.4414773252319618,0.20530173272192997,0.015,0.43648911587165096,0.206025709909197,0.014892294457911737
20,0.4187120401289086,0.43958291939781957,0.015,0.4135806801431919,0.4329440627550881,0.014905116360700089
21,0.40399841469937947,0.3775965238862402,0.015,0.3821596525217568,-0.475297877251414,0.014892255295829692
22,0.38616087247061104,0.4653094386056028,0.015,0.385201642276757,0.46597530455726516,0.014892294438179365
23,0.4884079758701615,0.4713631261085035,0.015,0.4912401766988857,0.47332305425636007,0.014859219338437769
24,0.3086660346303926,-0.20636747519708554,0.015,0.30934270804261094,-0.1946230063643061,0.014892287363142851
25,0.4315616745805675,0.3975114182149012,0.015,0.43644865904885777,0.3925894560730458,0.014892294457785567
26,0.5211945111248897,-0.28606991709038565,0.015,0.517294798428783,-0.27292442647416015,0.014892294461211984
27,0.4863264851425736,-0.4005595272138983,0.015,0.4919560154059568,-0.38795755417313665,0.014617564159410871
28,0.37878003728250637,-0.35485171817784467,0.015,0.3783512695896122,-0.35163853408105306,0.014892294457570137
29,0.3383589044195084,-0.15603480015464122,0.015,0.3456866413046076,-0.14073200168204764,0.014892294457410407
30,0.4740025799294767,-0.4580489883203527,0.015,0.024961071329320676,0.24321432282920935,0.014892294457515982
31,0.5375036588167474,0.11210189163871132,0.015,0.5410325851082868,0.11818039126828854,0.014892294457214081
32,0.36311023747113036,0.311287780231987,0.015,0.48919217997692976,-0.4061340981959842,0.014892294463740727
33,0.411198603901672,-0.12234922560637418,0.015,0.4151021417522329,-0.1177493139290262,0.014892250419274514
34,0.45064629019915853,-0.41378363108584515,0.015,0.4484215350850433,-0.409186458090298,0.014666460669457076
35,0.5461030958443058,0.10241017016822662,0.015,0.5434190012830511,0.10963572802982166,0.014892294457816082
36,0.5097546460338289,0.36444720109490414,0.015,0.5073273891007273,0.3651478675124556,0.014873288143774529
37,0.4398718786313299,0.25554227353887204,0.015,0.4429505802289924,0.26303239179706656,0.014892294460961153
38,0.4466613214326258,-0.11035313572882166,0.015,0.4488610520213332,-0.104765999956565,0.014892294458402799
39,0.42187425757973396,0.08479240375384123,0.015,0.4257922655729278,0.08887775409528452,0.014892294464051294
40,0.5089396229330355,0.40586154945424313,0.015,0.5106751851482677,0.4067925406520059,0.014759286549607105
41,0.37678650522404383,0.0221148066613317,0.015,0.37273538799218436,0.018534482882272097,0.01489229446277405
42,0.34171381655346683,-0.20345809444769503,0.015,0.34586379616841084,-0.19869556329038454,0.014892294461067601
