trial,x_plan,y_plan,z_plan,x_real,y_real,z_real
0,0.40560232203138236,-0.3903945212029466,0.015,0.4086603947445418,-0.3789210525091405,0.01472575827819408
1,0.3000091135287599,0.14964503473908575,0.015,0.3065483562682641,0.15402929696182524,0.014892294458234383
2,0.5097942951503363,-0.4808360647145937,0.015,0.5024725912247742,-0.4816156933442837,0.014657518065687034
3,0.3833698762109145,0.41647886132432754,0.015,0.4852557839900846,-0.29495594496393995,0.014892287628905638
4,0.3939370981199618,-0.18447892173259317,0.015,0.4015899352358468,-0.17693067520599565,0.014892294457514492
5,0.43174623695952064,0.2686455707447498,0.015,0.4317767100394045,0.2756101785052688,0.01489229445723972
6,0.3668868625448453,-0.3663962532749693,0.015,0.3670272842062041,-0.35333129997460205,0.01489229445720692
7,0.31316258540013125,-0.06690397545543825,0.015,0.3095492803727801,-0.06786771243850453,0.014892294313928248
8,0.3181891737878167,0.22376137188814704,0.015,0.3249837251634256,0.22130890110137758,0.014892293316864265
9,0.4694305503625885,0.4927516222944177,0.015,0.46877912967463536,0.48901766717736017,0.030909352451879302
