run_id,start_idx,end_idx,n_samples,duration_sec,success,pos_err,goal_x,goal_y,final_x,final_y,noise_strength_max,blur_strength_max,brightness_strength_max,group
0,0,999,1000,9.990000000000686,True,0.013448668990904994,0.2,-0.15,0.20001014343436374,-0.136551331009095,0.0,0.0,0.0,normal
1,1000,2000,1001,9.999999999996197,True,0.005435195479223526,0.2,-0.15,0.19456480452077649,-0.15334620937340335,0.0,0.0,0.0,normal
2,2001,3000,1000,9.990000000001675,True,0.004882063279041615,0.2,-0.15,0.1957091111922924,-0.1548820632790416,0.0,0.0,0.0,normal
3,3001,4000,1000,9.99000000001221,True,0.004567577488774205,0.2,-0.15,0.2036586487215279,-0.1545675774887742,0.0,0.0,0.0,normal
4,4001,5000,1000,9.99000000001221,True,0.003524537791021687,0.2,-0.15,0.20347291555045127,-0.15352453779102168,0.0,0.0,0.0,normal
5,5001,6001,1001,9.999999999983437,True,0.007452791007191734,0.2,-0.15,0.20745279100719174,-0.15186367250534033,0.0,0.0,0.0,normal
6,6002,7002,1001,9.999999999976694,True,0.007486426311705291,0.2,-0.15,0.2074864263117053,-0.14901945547253231,0.0,0.0,0.0,normal
7,7003,8003,1001,9.999999999976694,True,0.0041951582994864955,0.2,-0.15,0.20324918357259522,-0.1541951582994865,0.0,0.0,0.0,normal
8,8004,9004,1001,9.999999999976694,True,0.001599587026610727,0.2,-0.15,0.19840041297338928,-0.1491017911625307,0.0,0.0,0.0,normal
9,9005,10005,1001,9.999999999976694,True,0.010404082460791025,0.2,-0.15,0.21040408246079104,-0.14999042576580468,0.0,0.0,0.0,normal
10,10006,11005,1000,9.99000000000683,True,0.010792586496737422,0.2,-0.15,0.21079258649673743,-0.14397298771700792,0.0,0.0,0.0,normal
11,11006,12005,1000,9.9900000000477,True,0.0015753188560420073,0.2,-0.15,0.19941322656644472,-0.151575318856042,0.0,0.0,0.0,normal
12,12006,13005,1000,9.9900000000477,True,0.0030280662636669453,0.2,-0.15,0.19697193373633307,-0.1495106898446057,0.0,0.0,0.0,normal
13,13006,14005,1000,9.9900000000477,True,0.013515894188622452,0.2,-0.15,0.21351589418862246,-0.16090779964107355,0.0,0.0,0.0,normal
14,14006,15005,1000,9.9900000000477,True,0.018553926996850684,0.2,-0.15,0.19694166462510593,-0.16855392699685068,0.0,0.0,0.0,normal
15,15006,16005,1000,9.9900000000477,True,0.002131461926884487,0.2,-0.15,0.19786853807311552,-0.15073724270189173,0.0,0.0,0.0,normal
16,16006,17005,1000,9.9900000000477,True,0.0028225895189587513,0.2,-0.15,0.20282258951895876,-0.14737840114666265,0.0,0.0,0.0,normal
17,17006,18005,1000,9.9900000000477,True,0.011103610354590038,0.2,-0.15,0.21110361035459005,-0.15178097414680988,0.0,0.0,0.0,normal
18,18006,19005,1000,9.9900000000477,True,0.005160408924099358,0.2,-0.15,0.19774594861868844,-0.15516040892409935,0.0,0.0,0.0,normal
19,19006,20005,1000,9.9900000000477,False,0.038684917502631866,0.2,-0.15,0.2222573927291883,-0.18868491750263186,0.0,0.0,0.0,normal
20,20006,21005,1000,9.9900000000477,True,0.002927668359230029,0.2,-0.15,0.19707233164076998,-0.1518000560504404,0.0,0.0,0.0,normal
21,21006,22005,1000,9.9900000000477,True,0.008556312772407482,0.2,-0.15,0.2085563127724075,-0.1519875524642153,0.0,0.0,0.0,normal
22,22006,23005,1000,9.9900000000477,True,0.005255932238402067,0.2,-0.15,0.19474406776159794,-0.14748936196699208,0.0,0.0,0.0,normal
23,23006,24005,1000,9.9900000000477,True,0.004590240134447782,0.2,-0.15,0.19927831986811917,-0.15459024013444778,0.0,0.0,0.0,normal
24,24006,25005,1000,9.9900000000477,True,0.013963378896271639,0.2,-0.15,0.21396337889627165,-0.15801605758483808,0.0,0.0,0.0,normal
25,25006,26005,1000,9.9900000000477,True,0.0021955049349159372,0.2,-0.15,0.199160187680868,-0.14780449506508406,0.0,0.0,0.0,normal
26,26006,27005,1000,9.9900000000477,False,0.32123985593200355,0.2,-0.15,0.1745835681568739,0.17123985593200353,0.0,0.0,0.0,normal
27,27006,28005,1000,9.9900000000477,True,0.007072874273356539,0.2,-0.15,0.19292712572664347,-0.15285159016980485,0.0,0.0,0.0,normal
28,28006,29005,1000,9.9900000000477,True,0.008074086620076304,0.2,-0.15,0.20518088935070644,-0.1419259133799237,0.0,0.0,0.0,normal
29,29006,30005,1000,9.9900000000477,True,0.004240163944386838,0.2,-0.15,0.19575983605561317,-0.1537373465788204,0.0,0.0,0.0,normal
30,30006,31005,1000,9.9900000000477,True,0.009579879837561478,0.2,-0.15,0.20237922544728779,-0.15957987983756147,0.0,0.0,0.0,normal
31,31006,32005,1000,9.9900000000477,True,0.007472986321800573,0.2,-0.15,0.2014679764614242,-0.15747298632180057,0.0,0.0,0.0,normal
32,32006,33005,1000,9.9900000000477,True,0.0020007545101063118,0.2,-0.15,0.19906170468399567,-0.1520007545101063,0.0,0.0,0.0,normal
33,33006,34005,1000,9.9900000000477,True,0.004951210251517374,0.2,-0.15,0.20495121025151739,-0.15119274957108078,0.0,0.0,0.0,normal
34,34006,35005,1000,9.9900000000477,True,0.006500461702918264,0.2,-0.15,0.19349953829708175,-0.1468148121597081,0.0,0.0,0.0,normal
35,35006,36005,1000,9.9900000000477,True,0.007256568719239548,0.2,-0.15,0.20725656871923956,-0.15435117687427688,0.0,0.0,0.0,normal
36,36006,37005,1000,9.9900000000477,False,0.2689402638302921,0.2,-0.15,0.18945327062858064,0.11894026383029216,0.0,0.0,0.0,normal
37,37006,38005,1000,9.9900000000477,True,0.003206519089607146,0.2,-0.15,0.20114081193251293,-0.14679348091039285,0.0,0.0,0.0,normal
38,38006,39005,1000,9.9900000000477,True,0.0011657855726955602,0.2,-0.15,0.20116578557269557,-0.14934123093308174,0.0,0.0,0.0,normal
39,39006,40005,1000,9.9900000000477,True,0.004023869862256169,0.2,-0.15,0.20402386986225618,-0.14771984529148774,0.0,0.0,0.0,normal
40,40006,41005,1000,9.9900000000477,False,0.3160806858109466,0.2,-0.15,0.18225562139666868,0.1660806858109466,0.0,0.0,0.0,normal
41,41006,42005,1000,9.9900000000477,True,0.005523045033272528,0.2,-0.15,0.19697290261077915,-0.14447695496672747,0.0,0.0,0.0,normal
42,42006,43006,1001,9.999999999917804,True,0.003546582130220577,0.2,-0.15,0.19740250236508264,-0.14645341786977942,0.0,0.0,0.0,normal
43,43007,44007,1001,9.999999999763531,True,0.0037319467127852335,0.2,-0.15,0.20373194671278524,-0.1533433697788662,0.0,0.0,0.0,normal
44,44008,45008,1001,9.999999999763531,True,0.007572321126553233,0.2,-0.15,0.19242767887344678,-0.14933025433630662,0.0,0.0,0.0,normal
45,45009,46009,1001,9.999999999763531,True,0.011142443835762073,0.2,-0.15,0.19667354961092445,-0.16114244383576207,0.0,0.0,0.0,normal
46,46010,47010,1001,9.999999999763531,True,0.01228089185506237,0.2,-0.15,0.21228089185506238,-0.15660011684596667,0.0,0.0,0.0,normal
47,47011,48011,1001,9.999999999763531,True,0.006563278379395687,0.2,-0.15,0.2065632783793957,-0.15291930357179187,0.0,0.0,0.0,normal
48,48012,49012,1001,9.999999999763531,True,0.006816155405045182,0.2,-0.15,0.19515266702854647,-0.1431838445949548,0.0,0.0,0.0,normal
49,49013,50013,1001,9.999999999763531,False,0.021828551534274737,0.2,-0.15,0.22182855153427475,-0.14244862544355788,0.0,0.0,0.0,normal
50,50014,51014,1001,9.999999999763531,False,0.0217532347580289,0.2,-0.15,0.2217532347580289,-0.1523268723570516,0.0,0.0,0.0,normal
51,51015,52015,1001,9.999999999763531,True,0.008010548208065071,0.2,-0.15,0.20801054820806508,-0.1455783034385331,0.0,0.0,0.0,normal
52,52016,53016,1001,9.999999999763531,True,0.0012927845722535969,0.2,-0.15,0.2012927845722536,-0.14890685138868595,0.0,0.0,0.0,normal
53,53017,54017,1001,9.999999999763531,True,0.01280073382998348,0.2,-0.15,0.2128007338299835,-0.15002261285053345,0.0,0.0,0.0,normal
54,54018,55018,1001,9.999999999763531,True,0.006375078895759834,0.2,-0.15,0.19591466569184748,-0.15637507889575983,0.0,0.0,0.0,normal
55,55019,56019,1001,9.999999999763531,True,0.010504517072874336,0.2,-0.15,0.21050451707287435,-0.14822213158049927,0.0,0.0,0.0,normal
56,56020,57020,1001,9.999999999763531,True,0.008606806598379979,0.2,-0.15,0.20860680659838,-0.14714699740627205,0.0,0.0,0.0,normal
57,57021,58021,1001,9.999999999763531,True,0.011488404968764965,0.2,-0.15,0.21148840496876498,-0.15101138754283083,0.0,0.0,0.0,normal
58,58022,59022,1001,9.999999999763531,True,0.011671126251877384,0.2,-0.15,0.18832887374812263,-0.14356976982145966,0.0,0.0,0.0,normal
59,59023,60023,1001,9.999999999763531,True,0.0020892576160723986,0.2,-0.15,0.19976315267935196,-0.1479107423839276,0.0,0.0,0.0,normal
60,60024,61024,1001,9.999999999763531,True,0.0052354540660171645,0.2,-0.15,0.19476454593398285,-0.15306841620173472,0.0,0.0,0.0,normal
61,61025,62025,1001,9.999999999763531,True,0.016695345042440968,0.2,-0.15,0.19441970448243612,-0.16669534504244096,0.0,0.0,0.0,normal
62,62026,63026,1001,9.999999999763531,True,0.007151772301239756,0.2,-0.15,0.20715177230123977,-0.14893223078272527,0.0,0.0,0.0,normal
